"time","S","E","I","R"
0,0.999,0.001,0,0
0.005,0.9990000657894736,0.0007390413533834586,0.00026089285714285716,0.0
0.01,0.9989001759518333,0.0006461377447965892,0.0004196537619159506,3.403254145408163e-05
0.015,0.9987396530164107,0.0006382879683618162,0.0005334565409851487,8.860247424232117e-05
0.02,0.9985358495455975,0.0006760506047355328,0.0006303587163363272,0.0001577411333305426
0.025,0.9982953380887801,0.0007410258420512711,0.0007244659759458126,0.00023917009322269386
0.03,0.9980192779567177,0.00082501687254008,0.000823242663676355,0.000332462507065672
0.035,0.997705972089054,0.0009248200769060355,0.0009310404467186331,0.0004381673873211943
0.04,0.9973520673181229,0.0010397268120294254,0.001050807245134764,0.0005573986247127841
0.045,0.9969530979145608,0.0011703317130944792,0.0011849213594727426,0.0006916490128718797
0.05,0.9965037090711092,0.001317971075753431,0.0013356058290730378,0.0008427140240642104
0.055,0.995997722005338,0.0014844657825766941,0.0015051421894716915,0.0010126700226135395
0.06,0.9954281180976015,0.001672012166619357,0.0016959892631977047,0.0012038804725814309
0.065,0.994786978902604,0.0018831455135563898,0.0019108579740040187,0.001419017609835483
0.07,0.9940653993333437,0.002120740028180476,0.002152766874895043,0.0016610937635806657
0.075,0.9932533819138043,0.0023880279032127086,0.002425090420327673,0.0019334997626552501
0.08,0.9923397154881937,0.002688629154384729,0.0027316059132167832,0.00224004944420475
0.085,0.9913118396411624,0.0030265881893412807,0.003076542108542731,0.0025850300609534904
0.09,0.9901556951195519,0.003406415092997762,0.0034646310141597044,0.0029732587732905665
0.095,0.988855560179588,0.0038331305059821495,0.0039011637020205706,0.0034101456124092317
0.1,0.9873938727486177,0.004312313302699146,0.004392050543819911,0.003901763404863235
0.105,0.9857510384718938,0.004850150303665517,0.0049438860240160615,0.004454925200424581
0.11,0.9839052250715687,0.005453487102540842,0.005564018063555084,0.005077269762335314
0.115,0.9818321439746163,0.006129878801456807,0.006260621556411039,0.005777355667515898
0.12,0.9795048208880165,0.00688763904412849,0.0070427755451942875,0.006564764522660785
0.125,0.9768933579455719,0.007735885212894296,0.007920543116788482,0.007450213724745465
0.13,0.9739646912624704,0.008684577002901036,0.008905052662215638,0.008445679072413021
0.135,0.9706823492585761,0.009744544790302324,0.01000857859482534,0.009564527356296398
0.14,0.9670062190001438,0.010927503257956505,0.011244618934834364,0.01082165880706552
0.145,0.9628923301126163,0.012246044621911992,0.01262796632298321,0.01223365894248869
0.15,0.9582926685789588,0.013713604513413613,0.014174767998881224,0.013818958908746622
0.155,0.9531550359894884,0.015344392126755825,0.01590256905030401,0.01559800283345205
0.16,0.9474229735561185,0.01715327467726822,0.01783033179400296,0.017593419972610547
0.165,0.9410357744114162,0.019155604591909556,0.019978422482996062,0.019830198513678468
0.17,0.9339286122846032,0.021366976287232223,0.022368554663980016,0.022335856764184776
0.175,0.9260328193989414,0.023802898044334466,0.025023676472400325,0.025140606084324016
0.18,0.9172763510653834,0.026478363610994746,0.0279677870314106,0.028277498292211514
0.185,0.9075844784995668,0.02940730808105124,0.031225665047067742,0.031782548372314534
0.19,0.896880754217123,0.032601933756409573,0.03482249086798687,0.03569482115848088
0.195,0.8850882951001002,0.0360718946299767,0.03878334199304207,0.04005646827688128
0.2,0.8721314257750903,0.03982333347342337,0.043132541658898696,0.04491269909258794
0.205,0.8579377179828731,0.043857773960318695,0.0478928412279068,0.050311666828901654
0.21,0.8424404486780589,0.04817088246574272,0.05308442024720341,0.05630424860899521
0.215,0.825581479187306,0.052751130664911286,0.05872369397468238,0.06294369617310058
0.22,0.8073145286051723,0.05757841096478791,0.06482192761892905,0.07028513281111094
0.225,0.7876087760083392,0.06262268170172404,0.071383670213772,0.07838487207616486
0.23,0.7664526783304236,0.06784274658248164,0.07840503943308226,0.08729953565401256
0.235,0.7438578357206489,0.07318530049498599,0.0858719118230786,0.09708495196128655
0.24,0.7198626778501723,0.07858439761404888,0.09375810029026972,0.10779482424550917
0.245,0.6945356893312739,0.08396151229462014,0.10202363068207003,0.11947916769203613
0.25,0.6679778490712172,0.08922636211308305,0.11061325918131622,0.13218252963438373
0.255,0.6403239378278067,0.09427863886767891,0.11945539792450911,0.1459420253800054
0.26,0.6117423818972231,0.09901074182023055,0.12846163244564823,0.16078524383689827
0.265,0.5824333585698038,0.103311525445276,0.13752701518278437,0.1767281008021359
